,ZillowIndexDate,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31
48,Tabernash,481480.0,483963.0,485909.0,487473.0,487966.0,488602.0,489090.0,490811.0,492744.0,494475.0,495930.0,497532.0,499308.0,501489.0,502793.0,503968.0,504279.0,506306.0,509945.0,515007.0,517813.0,519827.0,522193.0,527944.0,533502.0,537794.0,543213.0,549152.0,556402.0,560572.0,563216.0,565232.0,573343.0,582545.0,592181.0,595410.0,598500.0,600897.0,602574.0,604152.0,606183.0,609642.0,612031.0,614423.0,617890.0,621156.0,623195.0,623847.0,626005.0,628740.0,630912.0,632063.0,631539.0,630329.0,629577.0,627989.0,622160.0,615227.0
49,Placerville,657426.0,660241.0,664420.0,667573.0,668858.0,671346.0,673532.0,677146.0,678215.0,677605.0,677697.0,678219.0,674003.0,670391.0,667728.0,669331.0,673895.0,676094.0,678905.0,677552.0,679155.0,680955.0,684810.0,688768.0,693792.0,697799.0,700080.0,701682.0,702761.0,704082.0,704123.0,704981.0,706215.0,708219.0,712596.0,716217.0,718899.0,717301.0,715893.0,715018.0,710847.0,709516.0,706010.0,708752.0,708289.0,708928.0,703736.0,699227.0,696721.0,697868.0,699545.0,700426.0,703533.0,704931.0,708622.0,708361.0,710229.0,711367.0
50,Minturn,631570.0,629781.0,625677.0,626941.0,628908.0,631275.0,630518.0,632886.0,635975.0,640886.0,642021.0,643287.0,644315.0,651006.0,658673.0,661538.0,663844.0,665589.0,670538.0,675082.0,679245.0,684630.0,690224.0,698502.0,707403.0,714138.0,721033.0,730007.0,737530.0,744530.0,748219.0,755272.0,764152.0,768925.0,771428.0,772627.0,777277.0,782827.0,781190.0,779428.0,776524.0,779177.0,785958.0,790651.0,797460.0,801705.0,810420.0,814286.0,817083.0,818642.0,824928.0,830442.0,837009.0,838931.0,837945.0,836054.0,830871.0,828648.0
51,Mountain Village,934606.0,932972.0,933927.0,938006.0,943079.0,947702.0,952808.0,960796.0,968361.0,974678.0,977363.0,981000.0,983899.0,988900.0,991134.0,993407.0,994472.0,997747.0,1002751.0,1008691.0,1014612.0,1019512.0,1026286.0,1032463.0,1038112.0,1042478.0,1045886.0,1048418.0,1050488.0,1053978.0,1057889.0,1059571.0,1061758.0,1063176.0,1069435.0,1074678.0,1080530.0,1082257.0,1084081.0,1086200.0,1090313.0,1094222.0,1096554.0,1099042.0,1101438.0,1103675.0,1101142.0,1098580.0,1097353.0,1099454.0,1102363.0,1105348.0,1107216.0,1108044.0,1109438.0,1111648.0,1113883.0,1117192.0
52,Red Cliff,864861.0,853500.0,853098.0,861140.0,873448.0,886488.0,894186.0,906584.0,909534.0,921264.0,926617.0,936262.0,932904.0,930013.0,928683.0,928562.0,924131.0,916606.0,909874.0,902008.0,892516.0,877364.0,863457.0,852174.0,849657.0,848981.0,846522.0,839608.0,838144.0,841720.0,857941.0,878106.0,909766.0,931425.0,952424.0,966808.0,985597.0,990403.0,998261.0,1010716.0,1029552.0,1042327.0,1046285.0,1048800.0,1040395.0,1032665.0,1026865.0,1025378.0,1023713.0,1032391.0,1039755.0,1046888.0,1048228.0,1054056.0,1061277.0,1069581.0,1082793.0,1104534.0
53,Glade Park,280684.0,281398.0,284067.0,286586.0,290417.0,294738.0,297409.0,300249.0,302811.0,305862.0,306124.0,305917.0,307172.0,310662.0,312373.0,311301.0,307693.0,304359.0,303628.0,304213.0,306345.0,308435.0,311164.0,314301.0,315044.0,314495.0,315030.0,319035.0,325139.0,330508.0,334690.0,338080.0,338937.0,340423.0,342814.0,347310.0,351609.0,355143.0,359097.0,362533.0,363682.0,363670.0,362221.0,361478.0,361882.0,360299.0,358189.0,353743.0,351853.0,350941.0,349801.0,348258.0,348140.0,349541.0,352435.0,355376.0,358824.0,364001.0
54,Silverton,282747.0,278879.0,275118.0,272708.0,270876.0,268180.0,264504.0,262845.0,260002.0,257791.0,255085.0,255782.0,257293.0,259748.0,260420.0,260316.0,259688.0,260330.0,261675.0,262488.0,263969.0,265898.0,268382.0,270407.0,272542.0,275066.0,278099.0,280661.0,283106.0,284709.0,286989.0,288484.0,290404.0,291086.0,292222.0,292756.0,293288.0,293751.0,294986.0,296883.0,298959.0,300769.0,302273.0,303734.0,305253.0,306232.0,306867.0,307185.0,308023.0,308606.0,308788.0,308927.0,309178.0,309863.0,310335.0,311295.0,311878.0,313376.0
55,Peetz,130743.0,132651.0,134511.0,135365.0,135967.0,136275.0,136945.0,137471.0,138726.0,139335.0,140127.0,140842.0,141564.0,142041.0,142581.0,143884.0,145288.0,146595.0,147899.0,148826.0,149463.0,150245.0,151581.0,152913.0,154509.0,155428.0,156290.0,156304.0,156526.0,157755.0,159086.0,160735.0,161300.0,162477.0,162927.0,163947.0,163420.0,163926.0,163763.0,164672.0,164962.0,165380.0,165452.0,165462.0,166113.0,166167.0,166551.0,166096.0,166905.0,167245.0,168051.0,168290.0,168852.0,168806.0,168928.0,169003.0,169148.0,169410.0
56,Clark,470158.0,472573.0,474487.0,473283.0,473654.0,473832.0,476537.0,476979.0,477133.0,478616.0,480307.0,481613.0,482009.0,482684.0,483802.0,485740.0,482937.0,479289.0,474155.0,474109.0,475132.0,475755.0,476446.0,478198.0,480340.0,482626.0,484038.0,486960.0,491807.0,496259.0,499215.0,499893.0,500209.0,500137.0,500235.0,500287.0,501012.0,500904.0,502011.0,504624.0,510553.0,515272.0,518803.0,519493.0,519948.0,517964.0,515346.0,513058.0,512292.0,512386.0,512473.0,511299.0,508251.0,507061.0,508321.0,512437.0,517314.0,524913.0
57,Silver Cliff,142024.0,142046.0,142241.0,143483.0,144141.0,145383.0,146000.0,147012.0,147743.0,148387.0,149171.0,149637.0,151135.0,151644.0,152822.0,152825.0,153094.0,152646.0,152626.0,152514.0,152823.0,153604.0,154914.0,155972.0,156077.0,156862.0,157237.0,157626.0,157432.0,157424.0,157900.0,158544.0,159310.0,159519.0,159866.0,160618.0,161714.0,162462.0,162740.0,163280.0,164017.0,165227.0,166058.0,166711.0,167160.0,167787.0,167908.0,167920.0,168059.0,168360.0,169121.0,169935.0,170893.0,171566.0,172263.0,173079.0,173984.0,175019.0
58,Telluride,897082.0,897864.0,901347.0,907330.0,913106.0,918915.0,924919.0,931269.0,937557.0,943832.0,951320.0,956965.0,960655.0,963521.0,966343.0,971727.0,977525.0,983587.0,989042.0,994456.0,1000430.0,1006418.0,1013347.0,1021221.0,1029375.0,1036352.0,1041903.0,1046008.0,1049725.0,1054266.0,1059691.0,1064930.0,1068878.0,1072131.0,1077865.0,1084068.0,1090533.0,1093786.0,1097243.0,1100169.0,1104782.0,1109588.0,1113570.0,1117643.0,1121557.0,1124974.0,1123601.0,1121811.0,1121436.0,1124201.0,1127297.0,1130766.0,1132933.0,1134342.0,1135961.0,1137600.0,1139937.0,1143104.0
59,Ouray,365000.0,366869.0,368905.0,370491.0,372312.0,374307.0,375085.0,375971.0,376312.0,376844.0,376997.0,377365.0,377988.0,379336.0,380841.0,382385.0,383129.0,382954.0,383701.0,384626.0,386093.0,387553.0,389832.0,392095.0,393473.0,394635.0,396017.0,397473.0,398317.0,399421.0,401347.0,404228.0,406460.0,407748.0,409199.0,411290.0,413461.0,414563.0,414956.0,415626.0,416867.0,418773.0,419992.0,421334.0,421947.0,421935.0,420555.0,419083.0,418826.0,419405.0,420473.0,421458.0,422637.0,423532.0,424558.0,425178.0,426804.0,429639.0
60,Joes,142568.0,145277.0,147036.0,149431.0,151718.0,155270.0,156863.0,158311.0,159627.0,161614.0,163884.0,164998.0,165316.0,165715.0,166532.0,167920.0,168222.0,168834.0,170504.0,173086.0,175636.0,177511.0,179200.0,181575.0,184367.0,186427.0,187740.0,187766.0,189531.0,190065.0,191577.0,192461.0,194098.0,194663.0,196032.0,197911.0,199798.0,200902.0,202303.0,205329.0,208644.0,212576.0,214490.0,215756.0,215113.0,216127.0,215919.0,216010.0,215585.0,216039.0,216523.0,216159.0,214832.0,213444.0,212772.0,212597.0,213343.0,213403.0
61,Fraser,334718.0,336627.0,338483.0,340346.0,341754.0,343104.0,343870.0,345042.0,346417.0,347769.0,349060.0,350476.0,352457.0,354780.0,356780.0,358615.0,359844.0,362071.0,365529.0,370334.0,376652.0,383319.0,390262.0,395714.0,399632.0,402448.0,405887.0,409820.0,414787.0,418067.0,420972.0,423435.0,422413.0,420901.0,419399.0,421507.0,423975.0,425664.0,427108.0,428465.0,430214.0,432251.0,433879.0,435163.0,438278.0,441243.0,443192.0,443072.0,443564.0,444982.0,446173.0,447049.0,447073.0,447280.0,447483.0,447607.0,447438.0,447314.0
62,Kirk,124717.0,127657.0,129316.0,130390.0,131345.0,133287.0,134734.0,135767.0,136347.0,137084.0,137914.0,138240.0,138787.0,139239.0,140534.0,141881.0,142526.0,143128.0,144875.0,147046.0,149070.0,150937.0,152953.0,155175.0,157144.0,158525.0,158977.0,158663.0,158783.0,158557.0,157574.0,157183.0,157634.0,158927.0,159972.0,160787.0,161171.0,161019.0,161032.0,161910.0,164727.0,167891.0,170912.0,172531.0,172291.0,171893.0,171091.0,171790.0,172355.0,173629.0,175119.0,176337.0,175965.0,175497.0,175351.0,176020.0,177805.0,179371.0
63,Phippsburg,260693.0,261304.0,261415.0,259266.0,256679.0,255469.0,255074.0,254895.0,254114.0,254567.0,256092.0,256934.0,256542.0,256440.0,256979.0,258613.0,260630.0,261490.0,261492.0,259863.0,257898.0,255736.0,254191.0,253098.0,253216.0,253689.0,255577.0,257693.0,258770.0,259125.0,259220.0,261534.0,264132.0,265618.0,265713.0,266015.0,267585.0,268805.0,269025.0,269549.0,272489.0,275306.0,277094.0,276863.0,276762.0,276834.0,276674.0,276913.0,276908.0,277202.0,277796.0,278309.0,277847.0,278413.0,280440.0,283609.0,287045.0,291350.0
64,Log Lane Village,75809.0,75473.0,75163.0,74882.0,75367.0,75824.0,76246.0,76583.0,76810.0,77178.0,77663.0,78256.0,78550.0,79133.0,79614.0,80234.0,80485.0,81075.0,81614.0,82265.0,82752.0,83402.0,84052.0,84954.0,85932.0,87058.0,88187.0,89311.0,90148.0,90832.0,91317.0,92308.0,93194.0,94163.0,95223.0,96199.0,97030.0,97601.0,98532.0,99175.0,99909.0,100222.0,101079.0,101751.0,102968.0,103746.0,104151.0,104205.0,104649.0,105143.0,105329.0,105667.0,106110.0,106838.0,107200.0,107350.0,107117.0,107079.0
65,Poncha Springs,227921.0,229448.0,230771.0,232762.0,234650.0,236779.0,238155.0,239560.0,240928.0,242500.0,244396.0,246308.0,248452.0,250519.0,252317.0,253876.0,255243.0,256818.0,258887.0,260845.0,262767.0,264484.0,266967.0,269596.0,272193.0,274164.0,276567.0,278757.0,281056.0,282401.0,283782.0,285152.0,286584.0,287814.0,289226.0,290854.0,292464.0,293651.0,294529.0,295725.0,297289.0,299088.0,300702.0,302125.0,303746.0,305167.0,305770.0,305971.0,306335.0,307287.0,308251.0,309035.0,309436.0,309983.0,310457.0,311004.0,311275.0,311745.0
66,Woody Creek,355835.0,359219.0,360715.0,364086.0,366001.0,368139.0,370329.0,368946.0,367293.0,366698.0,369524.0,372674.0,377398.0,380756.0,384656.0,388472.0,394117.0,399457.0,402215.0,406671.0,411843.0,417155.0,420489.0,423953.0,427496.0,430915.0,434864.0,437541.0,440358.0,442710.0,448075.0,453936.0,459130.0,462217.0,465515.0,469328.0,472412.0,474094.0,475359.0,476526.0,476606.0,476436.0,476275.0,477148.0,477938.0,479622.0,480600.0,481269.0,481584.0,483061.0,484185.0,485635.0,487123.0,488786.0,489187.0,487962.0,486693.0,485434.0
